epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
32,0.9930071234703064,0.6285150647163391,0.5908301472663879,0.6189555525779724,0.3060784339904785,0.022050999104976654,0.001,0.5924184322357178,0.9946944117546082,0.9917259812355042,0.9982382655143738,0.9918162822723389,0.5771100521087646,0.539702832698822,0.4767841100692749,0.29424381256103516,0.027610747143626213,0.691362738609314,0.9934943914413452,0.9906281232833862,0.9978392124176025
33,0.9932278394699097,0.6365407705307007,0.6032970547676086,0.625838041305542,0.3187423646450043,0.02120162360370159,0.001,0.6351644396781921,0.994871199131012,0.9919651746749878,0.9982969760894775,0.9923526644706726,0.6506365537643433,0.6033141613006592,0.647023618221283,0.3544248044490814,0.02481512911617756,0.5796433687210083,0.9945968985557556,0.9904534816741943,0.9982079863548279
34,0.9931958913803101,0.6367865204811096,0.6025050282478333,0.6275359988212585,0.31882891058921814,0.0210821945220232,0.001,0.5617024898529053,0.9948738813400269,0.9919220209121704,0.9982982873916626,0.9929102063179016,0.6324188113212585,0.5944722890853882,0.6413428783416748,0.29577508568763733,0.02311227284371853,0.6080974340438843,0.9942761659622192,0.9918718338012695,0.9980977177619934
35,0.9933684468269348,0.6439860463142395,0.611609697341919,0.6403183341026306,0.3256518840789795,0.020568804815411568,0.001,0.6124913692474365,0.9950100779533386,0.9921228289604187,0.9983429908752441,0.9928121566772461,0.6506699323654175,0.5747584104537964,0.6568969488143921,0.37288951873779297,0.023378921672701836,0.6208100914955139,0.9945228099822998,0.9914758205413818,0.9981812238693237
36,0.9934051036834717,0.6446351408958435,0.6108180284500122,0.6398798823356628,0.3294951319694519,0.020541850477457047,0.001,0.605963408946991,0.9949905276298523,0.9922026991844177,0.9983351230621338,0.99272620677948,0.6323403716087341,0.603836178779602,0.5980125069618225,0.32940998673439026,0.0237170048058033,0.5855945944786072,0.9946489334106445,0.9912120699882507,0.9982244968414307
37,0.9935808777809143,0.6508567929267883,0.6250750422477722,0.6446342468261719,0.3352733552455902,0.01981724426150322,0.001,0.632941484451294,0.9951604604721069,0.992375910282135,0.9983918070793152,0.9931532740592957,0.6533500552177429,0.6176635026931763,0.6498136520385742,0.3477601706981659,0.02277243509888649,0.6179460883140564,0.9950278997421265,0.9915942549705505,0.9983499646186829
38,0.9933684468269348,0.646102249622345,0.6078892350196838,0.6411097049713135,0.33710429072380066,0.02072942443192005,0.001,0.6458627581596375,0.994981050491333,0.9921444654464722,0.998333215713501,0.9929284453392029,0.6644898056983948,0.6102562546730042,0.6719092726707458,0.3776850402355194,0.0223610270768404,0.5639218091964722,0.9948297142982483,0.9914300441741943,0.998284637928009
39,0.993648111820221,0.6571353673934937,0.629916250705719,0.6536252498626709,0.34653109312057495,0.019386420026421547,0.001,0.653952419757843,0.9952160716056824,0.9924525618553162,0.9984107613563538,0.9924331307411194,0.6022777557373047,0.5763212442398071,0.537710428237915,0.29722386598587036,0.02602240815758705,0.6736546158790588,0.9936713576316833,0.9915933609008789,0.9978954792022705
40,0.9932337999343872,0.6437427997589111,0.6051478981971741,0.6418470144271851,0.32969802618026733,0.02117753215134144,0.001,0.6284172534942627,0.9948524832725525,0.9919992089271545,0.998291015625,0.9928703904151917,0.6389427781105042,0.5984141230583191,0.6062610149383545,0.3530098497867584,0.023887740448117256,0.4948749244213104,0.9943520426750183,0.9917682409286499,0.9981233477592468
41,0.9934787154197693,0.6497564911842346,0.6137428879737854,0.6470013856887817,0.33990606665611267,0.020213650539517403,0.001,0.5233479738235474,0.9950698614120483,0.9922731518745422,0.9983631372451782,0.9927893280982971,0.6256070733070374,0.6126893758773804,0.5939196348190308,0.297720730304718,0.023369578644633293,0.48079103231430054,0.9942438006401062,0.9917008280754089,0.9980873465538025
42,0.9935739040374756,0.6546405553817749,0.6292378306388855,0.6453818678855896,0.3455312252044678,0.01990078017115593,0.001,0.5507275462150574,0.9951416254043579,0.9923856854438782,0.9983864426612854,0.9925864338874817,0.6139772534370422,0.562038779258728,0.6055819392204285,0.29037997126579285,0.024870822206139565,0.5498871803283691,0.9936829805374146,0.9918329119682312,0.9978991150856018
